Link,Title,Author,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://libraries.rbkc.gov.uk/GroupedWork/14039778-650d-d420-1c51-cd70e2f01fad-eng,Mysterium,"Nevskiy, Oleksandr",Esdevium,2015,Poitiers,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Charing Cross Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Paddington Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/147c6f63-a731-0be0-bb21-099592882489-eng,"Mice and mystics","Hawthorne, Jerry","Plaid Hat Games",2012,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Pimlico Library - BOARDGAMES - Adult lending: AUTO - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/21c79814-303f-a13d-dc90-578b5fd1cc7a-eng,"Love letter: princess ever after","Kanai, Seiji","Renegade Games",2021,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Pimlico Library - BOARDGAMES - Adult lending: AUTO - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/9596e7a8-127f-6b3c-d441-da280aaabb68-eng,"The animals of Baker Street","Beauvais, Clementine",IELLO,2022,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Pimlico Library - Adult lending: AUTO - Checked Out"
https://libraries.rbkc.gov.uk/GroupedWork/c86c07a1-6014-af3e-bb1c-29500e894626-eng,"Lord of Waterdeep","Lee, Peter","Wizards of the Coast",,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Charing Cross Library - BOARDGAMES - Adult lending: AUTO - On Shelf,Board Game::Pimlico Library - BOARDGAMES - Adult lending: AUTO - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/961a8b82-7bc8-def2-b3bc-49b152889a0c-eng,"Overboss: a boss monster game","Mesburne, Aaron","Brotherwise Games",2021,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Pimlico Library - BOARDGAMES - Adult lending: AUTO - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/aed88edf-27e5-8394-19de-cfb9a638c36b-eng,"Codenames: duet","Chvátil, Vlaada","Czech Games Edition",2017,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Paddington Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/868e0b33-5da3-d0b4-b919-e69a9f24790e-eng,"Spirit island: the settler-destruction strategy game","Reuss, R. Eric","Greater Than Games",2017,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Charing Cross Library - BOARDGAMES - Adult lending:  - On Shelf,Board Game::Pimlico Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/ada560c4-d6d7-2284-937a-f557eb07c977-eng,"Forever Home: Lottie & Jack Hazell","Hazell, Lottie","Birdwood Games Ltd",2023,"Leamington Spa, UK","Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Pimlico Library - BOARDGAMES - Adult lending:  - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/8779c8f1-3d0d-9df0-861e-b8884850ce63-eng,"One night ultimate vampire","Alspach, Ted","Bezier Games",2016,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Pimlico Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out"
https://libraries.rbkc.gov.uk/GroupedWork/78020e17-d470-b978-6637-48042e7ed6cd-eng,"Ark nova","Wigge, Mathias","Feuerland Spiele",2021,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Paddington Library - Adult lending: AUTO - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/6a71ddee-149c-1987-62e2-7155d3a1d43b-eng,"Dixit: a picture is worth a thousand words","Roubira, Jean-Louis",Asmodee,2022,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Paddington Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Pimlico Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out"
https://libraries.rbkc.gov.uk/GroupedWork/dc618052-1a56-e93a-b397-85f5bc04747a-eng,"Jokkmokk: the winter market","Larsson, Henrik",WizKids,2023,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Pimlico Library - BOARDGAMES - Adult lending: AUTO - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/e99a5115-10f3-fe86-8964-6bc76561bcf7-eng,Fungi,"Povis, Brent","Pegasus Spiele",2014,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Paddington Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Pimlico Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/c3d48f5b-d7f5-f913-d393-fce81fe4fb3e-eng,"Batman: everybody lies","Spyra, Weronika","Portal Games",2022,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Pimlico Library - BOARDGAMES - Adult lending: AUTO - Checked Out"
https://libraries.rbkc.gov.uk/GroupedWork/09bf9d99-904f-fd25-9f80-e9b4f97c7551-eng,"Love letter","Kanai, Seiji","Z-Man Games",2019,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Pimlico Library - BOARDGAMES - Adult lending:  - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/135fe568-c43d-55b1-b7e1-254ea47fa067-eng,"Fluxx: the card game with ever-changing rules","Looney, Andrew",,2014,"Looney Labs","Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Pimlico Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/e8b7b14b-a856-7cfb-de51-4661c3964c5b-eng,"Final girl: frightmare on maple lane","Porfirio, A.J","Van Ryder Games",2021,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/523b7512-4cd7-3274-d26d-f7a1be3d0a85-eng,"On the Underground: London Berlin","Bleasdale, Sebastian",LudiCreations,2019,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Pimlico Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/c44e73bd-36b5-d289-bfde-37bc431ccff1-eng,"Pandemic: Reign of Cthulhu","Leacock, Matt","Z-Man Games",2016,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Pimlico Library - BOARDGAMES - Adult lending: AUTO - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/25989ec4-b44e-2677-95a3-9b8495d46420-eng,"Five Tribes: The Djinns of Naqala","Cathala, Bruno","Days of Wonder",2014,"Guyancourt, France","Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Pimlico Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/0d30a239-528b-a238-5f89-015afc316644-eng,"Ticket to ride: ghost train","Moon, Alan R","Days of Wonder",2022,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Pimlico Library - BOARDGAMES - Adult lending: AUTO - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/ea7f2451-1f87-dc36-d0bb-4a1d78b0836b-eng,"Suspects: Claire Harper, eternal investigator","Montiage, Guillaume","Studio H",2022,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/fb06d72f-4e39-3c15-6a8f-5190c51691dc-eng,"Dune: a game of conquest and diplomacy","Eberle, Billy","Gale Force Nine, LLC",2021,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOAD GAMES - On Shelf,Board Game::Pimlico Library - BOARDGAMES - Adult lending: AUTO - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/6b86e5f9-8816-e4b0-641a-c9e62b4f38a4-eng,Cluedo,Hasbro,"Hasbro Gaming",2011,,"Board Game",
https://libraries.rbkc.gov.uk/GroupedWork/eb39ffbc-d1e9-70d9-cd55-12a2defce464-eng,"Dead of winter: a crossroads game","Gilmour-Long, Jonathan","Plaid Hat Games",2014,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Pimlico Library - BOARDGAMES - Adult lending: AUTO - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/891a3dee-1768-0934-faa7-4a189540f7cd-eng,"Once upon a time: the story telling card game","Lambert, Richard","Atlas Games",2012,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Pimlico Library - BOARDGAMES - Adult lending: AUTO - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/9b9e7a44-c925-7c81-b92b-4508cf88909a-eng,"Eldritch horror","Konieczka, Corey","Fantsay Flight Games",2013,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Charing Cross Library - BOARDGAMES - Adult lending:  - On Shelf,Board Game::Pimlico Library - BOARDGAMES - Adult lending: AUTO - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/dc9968e2-5a26-46b3-ef5c-d80da3d37d96-eng,"Betrayal at the House on the Hill","Glassco, Bruce",Asmodee,2023,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Charing Cross Library - BOARDGAMES - Adult lending:  - On Shelf,Board Game::Paddington Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/58449726-af49-951d-3e1c-d6d2c1b1708b-eng,"Dungeons and Dragons:  Dragons of Stormwreck Isle Starter Set","Dungeons & Dragons",Asmodee,2022,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BORD GAMES - On Shelf,Board Game::Pimlico Library - BOARDGAMES - Adult lending: BORD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/fae22af0-7b47-5385-6c1e-e39ef5e2a659-eng,"Sherlock Holmes consulting detective: the Baker Street irregulars",,"Space Cowboys",2020,Boulogne-Billancourt,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Pimlico Library - Adult lending: BOARD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/f9c35ffe-50d2-5ccf-dca9-246ead280bf3-eng,"Invasion: Free State","Teemu Vilén",Lautapelit.fi,,,"Board Game",
https://libraries.rbkc.gov.uk/GroupedWork/59bd62f8-67e9-b931-8977-d43f0329c3ff-eng,"Official Scrabble words",,Collins,2012,London,Reference,"Reference::Chelsea Library - HOB - Reference Library: 793.734 - Not for loan"
https://libraries.rbkc.gov.uk/GroupedWork/5c3feca1-0ccd-0ee4-1c67-0b2ab9ece418-eng,"Checkmate!: the wonderful world of chess","Foley, John",Welbeck,2023,London,"UNKNOWN set up by BS;Book",
https://libraries.rbkc.gov.uk/GroupedWork/4c1dc18d-3937-6f0c-a468-f50182b3b11f-eng,"Collins official Scrabble words",,Collins,2011,London,Reference,"Reference::Kensington Central Library - HOB - Reference Library: 793.734 - Not for loan"
https://libraries.rbkc.gov.uk/GroupedWork/651db4cb-7aee-61de-a5cc-e393e5a634c6-eng,Pandemic,"Z-Man Games","Z-Man Games",2011,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Charing Cross Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Pimlico Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/3af98e3d-a8a8-6104-77bf-dff437cfe332-eng,"Magic maze","Lapp, Kasper","Sit Down!",2017,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Paddington Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/77bac0e5-c38c-1497-cb8a-e3aaee8dc13e-eng,"Azul: master chocolatier","Kiesling, Michael","Nesh Moves Games",2022,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Paddington Library - BOARDGAMES - Adult lending: AUTO - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending: AUTO - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/02d40933-a760-1578-75de-f2630800e90e-eng,Pictomania,"Chvatil, Vlaada","Czech Games Edition",2018,"Alton, Hampshire","Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out"
https://libraries.rbkc.gov.uk/GroupedWork/0aaac48e-a749-6de1-b622-6fc00f49a2f1-eng,Takenoko,"Bauza, Antoine",Bombyx,2011,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Charing Cross Library - BOARDGAMES - Adult lending:  - On Shelf,Board Game::Pimlico Library - BOARDGAMES - Adult lending: AUTO - Checked Out"
https://libraries.rbkc.gov.uk/GroupedWork/9ab42d10-3919-f346-8f30-8c74cc4c6ce5-eng,"Odin's ravens","Gimmler, Thorsten","Osprey Games",2002,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending: AUTO - Checked Out"
https://libraries.rbkc.gov.uk/GroupedWork/3ac4ef74-9940-b079-3706-442a437a0f5d-eng,Codenames,"Chvátil, Vlaada",ASMODEE,2015,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Charing Cross Library - BOARDGAMES - Adult lending:  - On Shelf,Board Game::Pimlico Library - Adult lending: BOARD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/c12f6179-72b1-4dd6-43b0-4c6a4aca8647-eng,"Quacks of Quedlinburg: the bag building game for quacks and charlatans","Warsch, Wolfgang",Schmidt,2018,Berlin,"Book;Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Paddington Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/8e5c04c0-a4ad-5295-1c04-3623e99620b1-eng,"No thank you, evil!","Germain, Shanna","Monte Cook Games",2016,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending: AUTO - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/870e6967-dd27-803c-a339-79e78ce0a1df-eng,"Muffin Time","Ridgewell, Thomas","Big Potato Games",2021,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending:  - Checked Out"
https://libraries.rbkc.gov.uk/GroupedWork/67603fdf-d4a6-e625-35bd-652206d8e299-eng,"Naruto labyrinth","Kobbert, Max J",Ravensburger,1986,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/8b770da8-853a-29ce-8299-dbd4f404cbc3-eng,"The mind","Warsch, Wolfgang","Coiled Spring",2018,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Paddington Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out"
https://libraries.rbkc.gov.uk/GroupedWork/7c510431-2ec7-65c3-785c-6760bfee13a4-eng,Coup,"Tahta, Rikki","Indie Boards and Cards",2014,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Paddington Library - BOARDGAMES - Adult lending: AUTO - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/e4b5cf78-bd02-f056-02cd-8cedc1feb590-eng,"Century: spice road","Matsuuchi, Emerson","Plan B Games",2021,"Quebec, Canada","Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/0b67c943-db4d-3514-d94e-a580601a65cf-eng,Wingspan,"Hargrave, Elizabeth","Stonemaier Games",2019,"St. Louis","Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Paddington Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf,Board Game::Pimlico Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/dd24180f-f8c7-e406-c64a-6f18d1e07b70-eng,Akropolis,"Messaud, Jules","Hachette Boardgames Uk Ltd",2022,"London, UK","Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/729e919e-db8c-6ff6-29b5-27bc56f897e6-eng,"Bunny kingdom","Garfield, Richard",IELLO,2017,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending: AUTO - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/5da07ab5-54f1-4af5-798d-9b8412f31647-eng,"7 Wonders: architects","Bauza, Antoine","Repos Production",2021,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Charing Cross Library - BOARDGAMES - Adult lending: AUTO - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending: AUTO - Checked Out"
https://libraries.rbkc.gov.uk/GroupedWork/de591bc5-c6d3-72ca-cff3-3f75bc9b043f-eng,Illiterati,"Alaka, Gary","Gap Closer Games",2023,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending: AUTO - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/8122df7e-bb36-bb27-b0ab-31e02e513b75-eng,"7 wonders","Nevskiy, Oleksandr","Repos Production",2020,Bruxelles,"Board Game","Board Game::Kensington Central Library - Adult lending: BOARD GAMES - Checked Out,Board Game::Paddington Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out"
https://libraries.rbkc.gov.uk/GroupedWork/1926b949-d167-ac55-38b3-71a547105816-eng,Wavelength,"Hague, Alex","Palm Court",2001,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - In Transit,Board Game::Pimlico Library - BOARDGAMES - Adult lending: AUTO - Checked Out"
https://libraries.rbkc.gov.uk/GroupedWork/70c55e9a-684b-d94c-3b6b-73919be8a1be-eng,"Tiny Epic Zombies","Gamelyn Games","Gamelyn Games",2018,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/6b7f70e7-1805-beff-c53d-aeae619031e7-eng,"Forbidden desert","Leacock, Matt",Gamewright,2013,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending:  - Checked Out"
https://libraries.rbkc.gov.uk/GroupedWork/bfd3b609-a70d-0fa2-dc4f-d57038a2a48f-eng,Radlands,"Piechnick, Daniel",Roxley,2021,"Calgary, AB","Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/de880f29-b737-9760-7e06-f623f495dbfd-eng,"Evolution: another world","Yamshchikov, Yuri","CrowD Games",2024,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending: AUTO - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/2d63e75b-32f2-67ba-47be-ffb08c34c0a9-eng,Hanabi,"Bauza, Antoine","R&R Games Incorporated",2022,"Alton, Hampshire","Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Chelsea Library - BOARDGAMES - Adult lending:  - Checked Out"
https://libraries.rbkc.gov.uk/GroupedWork/7bbd743f-fbb5-cdf5-418d-d4928a9ff1bd-eng,"Arkham Horror: the card game","Fantasy Flight Games","Fantasy Flight Games",2016,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/18e09c96-cfbd-eb6c-6564-ec0f128a72f2-eng,"Star Wars Villainous","Mulvihill, Mike",Ravensburger,2022,"Bicester, Oxfordshire","Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/93108af9-9c9c-bfc0-8edc-7aa476df9eea-eng,"Village green","Sylvester, Peer","Osprey Games",2020,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/e9f299bb-07c8-c5b5-5138-3467ce40540a-eng,Spyfall,"Ushan, Alexandr","Hobby World",2012,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending: AUTO - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/64c2ab0e-411e-d435-7203-29754b3a7fa8-eng,"The Traitors: Card Game",BBC,,,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/50a302e0-a425-47d3-d25e-3b023a40b264-eng,"Bark avenue","Jungck, MacKenzie","TerreDice Games",2023,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending: AUTO - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/dbb4403d-e187-fb2e-ba5f-5b5a03a6f7fc-eng,"Oath: chronicles game of empire and exile","Wehrle, Cole","Leder Games",2021,"Minnesota, USA","Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/f13b8739-1f82-3e59-2d82-3695ba7d66f1-eng,"Final Girl","Derrick, Evan",,2021,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out"
https://libraries.rbkc.gov.uk/GroupedWork/79d304ca-c9ac-9697-91e6-5e706308207e-eng,"Camel up","Bogen, Steffen",Eggertspiele,2014,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - In Transit"
https://libraries.rbkc.gov.uk/GroupedWork/5006d17c-a043-f103-1688-e268ba40a346-eng,"The fox experiment","Hargrave, Elizabeth","Pandasaurus Games",2023,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - On Hold Shelf,Board Game::Pimlico Library - Adult lending: BOARD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/10513b2a-9bda-a0d9-1957-6b5779988995-eng,"My Little Scythe","Chou, Hoby","Stonemaier LLC",2018,"St Louis, MO","Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending:  - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/73bee0fc-c132-2ecb-7144-f4560fb4bf82-eng,"Munchkin: deluxe","Steve Jackson","Steve Jackson Games",2016,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/6ddb698e-1048-5ad2-6bb4-3cd8dfe1caa7-eng,"Catan: trade, build and settle","Teuber, Klaus","Catan Studio",2016,Charlottesville,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Charing Cross Library - BOARDGAMES - Adult lending:  - Checked Out,Board Game::Paddington Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/7fc1efc2-6146-2a88-3cf4-dd7709101185-eng,"Tiny Epic Galaxies","Almes, Scott","Gamelyn Games",2015,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf"
https://libraries.rbkc.gov.uk/GroupedWork/1cbccc1e-48f4-0815-6ca4-74f3211c7375-eng,"Salton sea","Bernal, David",Devir,2024,,"Board Game","Board Game::Kensington Central Library - BOARDGAMES - Adult lending: BOARD GAMES - Checked Out,Board Game::Pimlico Library - BOARDGAMES - Adult lending: BOARD GAMES - On Shelf"
